Product_Name, Product_Price ,Rate
"Realme 3i (Diamond Red, 64 GB)"," ?9,999.00 ",4.4
"Realme 3i (Diamond Blue, 64 GB)"," ?9,999.00 ",4.4
"Redmi Note 7S (Sapphire Blue, 32 GB)"," ?9,999.00 ",4.4
"Realme 5 (Crystal Purple, 32 GB)"," ?9,999.00 ",4.4
"Realme 5 (Crystal Blue, 32 GB)"," ?9,999.00 ",4.4
"Redmi Note 7S (Onyx Black, 32 GB)"," ?9,999.00 ",4.4
"Realme 3 (Dynamic Black, 64 GB)"," ?9,999.00 ",4.4
"Realme 3 (Radiant Blue, 64 GB)"," ?9,999.00 ",4.4
"Redmi Note 7S (Ruby Red, 32 GB)"," ?9,999.00 ",4.4
"Samsung Galaxy J6 (Blue, 64 GB)"," ?14,990.00 ",4.4
"Redmi Note 7S (Astro Moonlight White, 32 GB)"," ?9,999.00 ",4.4
"Vivo Y91 (Nebula Purple, 32 GB)"," ?9,990.00 ",4.4
"Redmi 7 (Lunar Red, 32 GB)"," ?8,629.00 ",4.4
"Redmi 6 Pro (Black, 32 GB)"," ?8,145.00 ",4.3
"Redmi 7 (Eclipse Black, 32 GB)"," ?8,704.00 ",4.4
"Redmi 7 (Comet Blue, 32 GB)"," ?8,782.00 ",4.4
"Redmi Y3 (Elegant Blue, 32 GB)"," ?9,119.00 ",4.4
"Vivo Y91 (Starry Black, 32 GB)"," ?9,990.00 ",4.4
"Redmi 6 Pro (Rose Gold, 64 GB)"," ?10,337.00 ",4.3
"Redmi Y2 (Gold, 32 GB)"," ?8,099.00 ",4.5
"Redmi Y3 (Prime Black, 32 GB)"," ?9,029.00 ",4.4
"Honor 8C (Blue, 64 GB)"," ?9,999.00 ",4.3
"Honor 8C (Black, 64 GB)"," ?9,999.00 ",4.3
"Vivo Y91i (Fusion Black, 32 GB)"," ?7,990.00 ",4.3
